k_base,mag2,is_kmax,is_kfp,in_noise_win,thr
8.750000000000000000e+00,8.334884270938713771e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.875000000000000000e+00,8.619611860014458362e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.000000000000000000e+00,8.480807315091038313e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.125000000000000000e+00,7.985336237425692655e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.250000000000000000e+00,7.227875271266997288e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.375000000000000000e+00,6.308848682126980915e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.500000000000000000e+00,5.318249641890787258e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.625000000000000000e+00,4.327270136786464646e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.750000000000000000e+00,3.386876010854152655e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
9.875000000000000000e+00,2.530937146693372839e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.000000000000000000e+01,1.781272694196373539e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.012500000000000000e+01,1.152497069351934054e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.025000000000000000e+01,6.552924163306869089e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.037500000000000000e+01,2.973996462439580777e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.050000000000000000e+01,8.224092450731394202e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.062500000000000000e+01,5.792351791175559961e-08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.075000000000000000e+01,5.308461035303773204e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.087500000000000000e+01,1.962256432490205254e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.100000000000000000e+01,3.957046483255575814e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.112500000000000000e+01,6.057379045035330510e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.125000000000000000e+01,7.827855968149843082e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.137500000000000000e+01,8.947771062900505680e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.150000000000000000e+01,9.278458786869187491e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.162500000000000000e+01,8.880082176382855124e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.175000000000000000e+01,7.970982538445313569e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.187500000000000000e+01,6.846131050342475919e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.200000000000000000e+01,5.788369779187998211e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.212500000000000000e+01,5.008436440545309042e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.225000000000000000e+01,4.635560473307174177e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.237500000000000000e+01,4.756091840206464411e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.250000000000000000e+01,5.474671653682160367e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.262500000000000000e+01,6.961821994896980726e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.275000000000000000e+01,9.458501515878810066e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.287500000000000000e+01,1.322875581701704019e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.300000000000000000e+01,1.847614144455066968e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.312500000000000000e+01,2.525662706225986447e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.325000000000000000e+01,3.342271574325789466e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
