time_us,I,Q
1.937500000000000000e+00,-6.603229101611330939e-06,3.501344211866092261e-06
1.943749999999999867e+00,8.055558878841991954e-06,6.830476627794551735e-06
1.949999999999999956e+00,-4.218753125763861361e-06,-2.130681246387450717e-05
1.956250000000000044e+00,-3.089229641256665227e-06,1.226097709151346377e-05
1.962499999999999911e+00,7.066325367123325260e-06,4.980685430124910571e-06
1.968750000000000000e+00,-4.870796821699970480e-06,4.515154406914469028e-06
1.975000000000000089e+00,1.389477743844787379e-05,-1.559009351272204794e-06
1.981249999999999956e+00,8.518915352916568926e-06,-1.348156730824274801e-05
1.987500000000000044e+00,-1.535227111273336810e-06,8.235558433221299072e-06
1.993750000000000133e+00,-1.210267883881157262e-05,1.686770194563386445e-05
2.000000000000000000e+00,6.989430956842787201e-06,1.593567524995672462e-05
2.006250000000000089e+00,-1.475484784320915930e-05,9.505328023370896223e-06
2.012499999999999734e+00,-2.210031086349623350e-06,6.955317219955891104e-06
2.018749999999999822e+00,8.715260138961531731e-06,4.411653157921616586e-06
2.024999999999999911e+00,-3.812745540685160252e-05,2.567685752542413623e-05
2.031250000000000000e+00,-6.047063721768377564e-06,1.887060683566121311e-05
2.037500000000000089e+00,-2.521780971178628073e-06,-7.892515088859760383e-06
2.043750000000000178e+00,8.766250564073865573e-06,5.759214000056713750e-06
2.049999999999999822e+00,-1.253576834474273508e-05,-9.219889921024557801e-06
2.056249999999999911e+00,-1.427378246588602680e-05,-1.469366585101132772e-05
2.062500000000000000e+00,4.067945817047913392e-07,2.083836911475437074e-06
2.068750000000000089e+00,-2.007165150915182197e-05,-5.459382029036802432e-06
2.075000000000000178e+00,2.704596078209433167e-05,1.530259024473538851e-05
2.081250000000000266e+00,-1.554565550614366636e-05,-1.000818422026473431e-05
2.087499999999999911e+00,1.034489830169948947e-05,-1.225437817542520298e-05
2.093750000000000000e+00,5.882358176122485736e-06,-1.114960240155059309e-05
2.099999999999999645e+00,-4.618835570220179230e-06,-1.947194068527108269e-05
2.106249999999999734e+00,1.476154689422379383e-05,2.215459795996393486e-05
2.112500000000000266e+00,-4.717074644256699307e-06,-3.219239697249881761e-05
2.118749999999999911e+00,4.003496650846266594e-06,-1.401358646506277308e-05
2.125000000000000000e+00,-5.079585103578357798e-06,1.368313536438505639e-06
2.131250000000000089e+00,2.226960435577261688e-05,7.302485024893643324e-06
2.137499999999999734e+00,-1.455020612124176323e-05,4.284706644947069014e-06
2.143749999999999822e+00,2.066783921802436521e-06,-1.980560314641867137e-05
2.150000000000000355e+00,2.570670511856832863e-05,1.258276132932305482e-05
2.156250000000000000e+00,-5.613076717483697128e-06,-3.752012612232371039e-06
2.162500000000000089e+00,1.040862657692369495e-05,4.922394721896971780e-06
2.168750000000000178e+00,3.232979750813139164e-06,5.375098867601394050e-06
2.174999999999999822e+00,4.728691027844573051e-06,-6.656266697070833887e-06
2.181249999999999911e+00,-1.402464513741761698e-05,2.032372201334235042e-06
2.187500000000000000e+00,-1.393403158777220716e-05,1.739486219989084095e-07
2.193750000000000089e+00,1.034371287178843389e-05,1.962184603952704311e-06
2.200000000000000178e+00,-7.036142983549509263e-06,2.869380034152288773e-05
2.206249999999999822e+00,7.977884239718470701e-06,-5.928582421054784344e-06
2.212499999999999911e+00,-6.999737050766245926e-06,-1.774141478486859029e-05
2.218750000000000000e+00,2.594834181175622971e-05,7.089337461321359516e-06
2.225000000000000089e+00,1.747884036776624787e-05,-6.319102678870865872e-06
2.231250000000000178e+00,-3.115239343018220037e-05,8.120762439258026610e-06
2.237500000000000266e+00,-2.016619444231488968e-05,-3.345694694663815933e-06
2.243749999999999911e+00,-6.774131867335461205e-06,-1.983186681348147006e-05
2.250000000000000000e+00,8.749207506167515943e-06,1.151662732156802653e-05
2.256250000000000089e+00,6.714117231619953736e-06,7.725018921687291077e-06
2.262499999999999734e+00,-6.655966658985162273e-06,-2.635438454833833788e-05
2.268750000000000266e+00,1.364577652409608132e-05,-7.101838899878530815e-06
2.274999999999999911e+00,2.398431576072288296e-05,2.492761029112747777e-06
2.281250000000000000e+00,-4.471257872151128823e-06,-1.189989066361078010e-05
