time_us,I,Q
9.687500000000000000e-01,6.977580247341641506e-02,-9.104876841782540836e-03
9.749999999999999778e-01,3.836049200062793818e-02,-4.871799025739233235e-02
9.812499999999999556e-01,-5.838559547241067849e-02,-4.174928064663879779e-02
9.875000000000000444e-01,4.193610028577770404e-02,-4.154022200055627195e-02
9.937500000000000222e-01,-7.994849447798119818e-03,5.606585099605928407e-02
1.000000000000000000e+00,4.947702373876180885e-03,-1.449468118163389600e-02
1.006249999999999867e+00,1.493158214367093506e-02,3.210963861312367273e-02
1.012499999999999956e+00,1.105805625838504266e-02,5.480927828137771574e-02
1.018750000000000044e+00,5.215142163900981370e-02,3.423168222719142478e-02
1.024999999999999911e+00,-5.751431066643131543e-03,9.996376452136647439e-02
1.031250000000000000e+00,8.135819752107642522e-02,-5.059626675534160262e-02
1.037500000000000089e+00,1.891414522762101605e-02,-1.959397517449329440e-02
1.043749999999999956e+00,4.721609844103093201e-02,-9.702617206505212422e-02
1.049999999999999822e+00,1.041547327376233234e-01,-5.268509149342203574e-02
1.056250000000000133e+00,-3.661409922799947758e-02,-1.493401030607289515e-01
1.062500000000000000e+00,5.786621558975481999e-02,6.525040216767520607e-02
1.068749999999999867e+00,8.878142745709888262e-02,-6.599350557551254826e-02
1.075000000000000178e+00,1.556355060398547860e-02,-6.330264399578169887e-02
1.081250000000000044e+00,-4.728567468270720997e-02,1.080953658281209040e-01
1.087499999999999911e+00,1.318661374932581232e-01,4.929054995025390629e-02
1.093750000000000000e+00,-1.105733670881620025e-03,-4.192600361525005565e-03
1.100000000000000089e+00,-2.040701653111321248e-02,-7.512595738856266137e-02
1.106249999999999956e+00,7.555586060474023258e-02,-1.118844139201758264e-01
1.112500000000000044e+00,2.546623912234645751e-02,4.116913458294371719e-02
1.118750000000000133e+00,-9.875676269662051268e-03,8.851873556964580392e-02
1.125000000000000000e+00,-1.093118221302046278e-01,1.413343570667583218e-02
1.131249999999999867e+00,-2.647466832729448299e-02,-2.444997372935037855e-02
1.137499999999999956e+00,-5.287778877876702505e-02,-1.373228166425027041e-01
1.143750000000000044e+00,1.238506542803489568e-01,2.296502928833460064e-02
1.149999999999999911e+00,-1.448284428627466015e-02,-1.140895493744848409e-02
1.156250000000000000e+00,-5.457189736082149883e-02,1.187998181235603787e-02
1.162500000000000089e+00,4.697372617299267611e-02,-4.027068505126667891e-02
1.168749999999999956e+00,4.713454478207592530e-02,-8.488951728969660465e-03
1.175000000000000044e+00,1.530945879214197225e-01,-1.564118114213389893e-02
1.181249999999999911e+00,7.050333065046958392e-02,-5.249490399209364583e-02
1.187500000000000000e+00,6.298270972849265292e-02,-4.473477743573432003e-02
1.193750000000000089e+00,7.653142948857726002e-02,-7.984630199433960518e-02
1.199999999999999956e+00,6.345404792309530806e-02,8.717145839813618402e-02
1.206250000000000044e+00,-5.269011096232200514e-02,-4.798021924258172310e-02
1.212500000000000133e+00,-2.652941519003656698e-02,-8.820838996512857244e-02
1.218750000000000000e+00,-1.088709597796029376e-02,1.187813047984559028e-01
1.224999999999999867e+00,-1.183438301211479776e-01,4.592864279912589609e-02
1.231250000000000178e+00,-3.913023700094960672e-02,1.137376950863944018e-02
1.237500000000000044e+00,-5.970939483072094933e-02,-3.503584301064775058e-02
1.243749999999999911e+00,-1.041846227991159446e-01,6.664352420570042457e-02
1.250000000000000000e+00,-6.039443276371590785e-02,-2.641431251625144319e-02
