freq_offset_mhz,psd_dbfs_per_hz
-6.941406250000000000e+01,-1.740323265249329552e+02
-6.937500000000000000e+01,-1.739898795253931496e+02
-6.933593750000000000e+01,-1.739481854959960572e+02
-6.929687500000000000e+01,-1.739099320191773472e+02
-6.925781250000000000e+01,-1.738569812268991370e+02
-6.921875000000000000e+01,-1.737559515835305319e+02
-6.917968750000000000e+01,-1.735832061443161365e+02
-6.914062500000000000e+01,-1.734218598478232707e+02
-6.910156250000000000e+01,-1.733979541023770139e+02
-6.906250000000000000e+01,-1.735196669230476800e+02
-6.902343750000000000e+01,-1.736019909911750005e+02
-6.898437500000000000e+01,-1.735415142145237439e+02
-6.894531250000000000e+01,-1.734761922680944224e+02
-6.890625000000000000e+01,-1.734485159593122887e+02
-6.886718750000000000e+01,-1.734082434506473476e+02
-6.882812500000000000e+01,-1.733550803665198146e+02
-6.878906250000000000e+01,-1.732751141005905424e+02
-6.875000000000000000e+01,-1.732406156176719492e+02
-6.871093750000000000e+01,-1.733097350268216985e+02
-6.867187500000000000e+01,-1.734144005528359003e+02
-6.863281250000000000e+01,-1.735120013209705121e+02
-6.859375000000000000e+01,-1.735021977943272873e+02
-6.855468750000000000e+01,-1.733395496323125258e+02
-6.851562500000000000e+01,-1.732385105871175028e+02
-6.847656250000000000e+01,-1.732595333785840523e+02
-6.843750000000000000e+01,-1.732119744759613127e+02
-6.839843750000000000e+01,-1.730885643086404286e+02
-6.835937500000000000e+01,-1.730386309175576116e+02
-6.832031250000000000e+01,-1.730565476296172562e+02
-6.828125000000000000e+01,-1.730537561469270997e+02
-6.824218750000000000e+01,-1.730310576374017160e+02
-6.820312500000000000e+01,-1.730244694652651845e+02
-6.816406250000000000e+01,-1.730359936553473403e+02
-6.812500000000000000e+01,-1.730447854815309938e+02
-6.808593750000000000e+01,-1.730190449893476625e+02
-6.804687500000000000e+01,-1.729697059560400874e+02
-6.800781250000000000e+01,-1.729464407581512830e+02
-6.796875000000000000e+01,-1.729317816356990818e+02
-6.792968750000000000e+01,-1.728543901772843014e+02
-6.789062500000000000e+01,-1.727771829844338924e+02
-6.785156250000000000e+01,-1.728109378738996043e+02
-6.781250000000000000e+01,-1.728316441281185121e+02
-6.777343750000000000e+01,-1.727241491254612811e+02
-6.773437500000000000e+01,-1.726621256985242496e+02
-6.769531250000000000e+01,-1.727446436005118358e+02
-6.765625000000000000e+01,-1.728439711711783957e+02
-6.761718750000000000e+01,-1.728351228560015329e+02
-6.757812500000000000e+01,-1.726836216624408564e+02
-6.753906250000000000e+01,-1.724894668280888084e+02
-6.750000000000000000e+01,-1.724403665964338188e+02
-6.746093750000000000e+01,-1.725476250544206778e+02
-6.742187500000000000e+01,-1.726150473662356433e+02
-6.738281250000000000e+01,-1.725581132160982065e+02
-6.734375000000000000e+01,-1.725101860172404713e+02
-6.730468750000000000e+01,-1.725454946149687885e+02
-6.726562500000000000e+01,-1.725559653382150032e+02
-6.722656250000000000e+01,-1.724872330023480345e+02
-6.718750000000000000e+01,-1.724547211108982481e+02
-6.714843750000000000e+01,-1.724958267507720677e+02
-6.710937500000000000e+01,-1.725407579494951165e+02
-6.707031250000000000e+01,-1.725991246953125255e+02
-6.703125000000000000e+01,-1.726704487677911004e+02
-6.699218750000000000e+01,-1.726630148351422633e+02
-6.695312500000000000e+01,-1.725540310207959749e+02
-6.691406250000000000e+01,-1.724095017580050637e+02
-6.687500000000000000e+01,-1.723133496991139282e+02
-6.683593750000000000e+01,-1.723215768517397635e+02
-6.679687500000000000e+01,-1.723752159081879540e+02
-6.675781250000000000e+01,-1.723824886239786451e+02
-6.671875000000000000e+01,-1.723849995039003034e+02
-6.667968750000000000e+01,-1.724739752221274784e+02
-6.664062500000000000e+01,-1.725938523159754254e+02
-6.660156250000000000e+01,-1.726051518722163109e+02
-6.656250000000000000e+01,-1.725540085940285451e+02
-6.652343750000000000e+01,-1.726042989798177700e+02
-6.648437500000000000e+01,-1.727070053558469453e+02
-6.644531250000000000e+01,-1.726705716778488409e+02
-6.640625000000000000e+01,-1.725320826229783222e+02
-6.636718750000000000e+01,-1.724397316947403169e+02
-6.632812500000000000e+01,-1.723943806102636529e+02
-6.628906250000000000e+01,-1.723558999528464426e+02
-6.625000000000000000e+01,-1.723322360808617759e+02
-6.621093750000000000e+01,-1.723698222378751836e+02
-6.617187500000000000e+01,-1.724683868524493846e+02
-6.613281250000000000e+01,-1.725559265080666478e+02
