freq_offset_mhz,psd_dbfs_per_hz
-7.273437500000000000e+01,-1.017257502887949414e+02
-7.269531250000000000e+01,-1.018517722813984818e+02
-7.265625000000000000e+01,-1.019361120880207494e+02
-7.261718750000000000e+01,-1.019689072545151305e+02
-7.257812500000000000e+01,-1.019880765577198929e+02
-7.253906250000000000e+01,-1.019572067619762663e+02
-7.250000000000000000e+01,-1.018817419508829971e+02
-7.246093750000000000e+01,-1.018466461495631279e+02
-7.242187500000000000e+01,-1.018796546373101677e+02
-7.238281250000000000e+01,-1.019050670936251493e+02
-7.234375000000000000e+01,-1.018582171867299451e+02
-7.230468750000000000e+01,-1.018160904151652488e+02
-7.226562500000000000e+01,-1.018864132407752976e+02
-7.222656250000000000e+01,-1.019852262632288387e+02
-7.218750000000000000e+01,-1.019488097722675661e+02
-7.214843750000000000e+01,-1.018693364839948146e+02
-7.210937500000000000e+01,-1.019335867268872846e+02
-7.207031250000000000e+01,-1.020893814042665184e+02
-7.203125000000000000e+01,-1.021589962403790963e+02
-7.199218750000000000e+01,-1.020979156171912194e+02
-7.195312500000000000e+01,-1.019848116861668217e+02
-7.191406250000000000e+01,-1.018552258556756271e+02
-7.187500000000000000e+01,-1.017192532253570505e+02
-7.183593750000000000e+01,-1.016702077272656766e+02
-7.179687500000000000e+01,-1.017626707908625860e+02
-7.175781250000000000e+01,-1.018923073934180934e+02
-7.171875000000000000e+01,-1.019693576787045117e+02
-7.167968750000000000e+01,-1.020032474403879235e+02
-7.164062500000000000e+01,-1.019545549341428483e+02
-7.160156250000000000e+01,-1.018444567299834773e+02
-7.156250000000000000e+01,-1.018208871775707109e+02
-7.152343750000000000e+01,-1.019188458519329572e+02
-7.148437500000000000e+01,-1.019915518310391178e+02
-7.144531250000000000e+01,-1.019310966968127872e+02
-7.140625000000000000e+01,-1.018309371181233161e+02
-7.136718750000000000e+01,-1.017839419130235399e+02
-7.132812500000000000e+01,-1.017788707979763387e+02
-7.128906250000000000e+01,-1.018436438260606280e+02
-7.125000000000000000e+01,-1.019480046716377046e+02
-7.121093750000000000e+01,-1.019658550358664684e+02
-7.117187500000000000e+01,-1.018722946639943103e+02
-7.113281250000000000e+01,-1.017380397027011298e+02
-7.109375000000000000e+01,-1.017048138769989407e+02
-7.105468750000000000e+01,-1.018461693806891475e+02
-7.101562500000000000e+01,-1.019848987275969705e+02
-7.097656250000000000e+01,-1.019698163496095020e+02
-7.093750000000000000e+01,-1.018799200231263740e+02
-7.089843750000000000e+01,-1.018218083632880280e+02
-7.085937500000000000e+01,-1.018395401030867617e+02
-7.082031250000000000e+01,-1.018930532517376406e+02
-7.078125000000000000e+01,-1.019082051651654410e+02
-7.074218750000000000e+01,-1.018873157563474621e+02
-7.070312500000000000e+01,-1.018665190046535542e+02
-7.066406250000000000e+01,-1.018111781778924438e+02
-7.062500000000000000e+01,-1.017169849403353226e+02
-7.058593750000000000e+01,-1.017055797407187470e+02
-7.054687500000000000e+01,-1.018239266799060374e+02
-7.050781250000000000e+01,-1.019441106564478332e+02
-7.046875000000000000e+01,-1.019144511300452507e+02
